GEOID,year,month,year-month,sale_amt,home_size,yr_blt,price_sf,Sub_geo
13057090101,2022,3,2022-3,700000.0,2716.0,2021.0,257.7319587628866,East Cherokee
13057090101,2022,4,2022-4,446500.0,2173.0,2015.0,205.47630004601933,East Cherokee
13057090101,2021,12,2021-12,405000.0,1897.0,2005.0,213.4949920927781,East Cherokee
13057090101,2023,11,2023-11,395425.0,1316.0,1997.0,300.47492401215806,East Cherokee
13057090101,2023,5,2023-5,335000.0,1304.0,1997.0,256.90184049079755,East Cherokee
13057090101,2020,12,2020-12,286000.0,2226.0,2000.0,128.48158131177,East Cherokee
13057090101,2020,4,2020-4,520000.0,3190.0,2006.0,163.00940438871473,East Cherokee
13057090101,2022,11,2022-11,85000.0,684.0,1967.0,124.2690058479532,East Cherokee
13057090101,2021,10,2021-10,295000.0,2138.0,1993.0,172.35734331150607,East Cherokee
13057090101,2022,3,2022-3,415000.0,2421.0,2001.0,171.41676992978108,East Cherokee
13057090101,2023,9,2023-9,387200.0,2501.0,2016.0,154.81807277089163,East Cherokee
13057090101,2020,6,2020-6,250000.0,1896.0,2000.0,131.85654008438817,East Cherokee
13057090101,2021,7,2021-7,384000.0,2312.0,2000.0,166.08996539792386,East Cherokee
13057090101,2021,9,2021-9,380000.0,2323.0,2016.0,163.58157554885923,East Cherokee
13057090101,2021,4,2021-4,53235.0,2016.0,2021.0,64.34771825396825,East Cherokee
13057090101,2022,8,2022-8,258500.0,1196.0,2007.0,216.1371237458194,East Cherokee
13057090101,2021,6,2021-6,125000.0,1306.0,1958.0,95.71209800918837,East Cherokee
13057090101,2020,7,2020-7,285000.0,2223.0,2007.0,128.2051282051282,East Cherokee
13057090101,2021,8,2021-8,358539.0,2311.0,2001.0,155.14452617914324,East Cherokee
13057090101,2022,8,2022-8,435000.0,1872.0,1996.0,232.3717948717949,East Cherokee
13057090101,2020,5,2020-5,279000.0,1502.0,2019.0,185.75233022636485,East Cherokee
13057090101,2022,3,2022-3,355000.0,1428.0,1999.0,248.59943977591035,East Cherokee
13057090101,2022,11,2022-11,510000.0,3312.0,2000.0,153.9855072463768,East Cherokee
13057090101,2022,11,2022-11,500000.0,2401.0,2019.0,208.2465639316951,East Cherokee
13057090101,2020,8,2020-8,315400.0,2267.0,2020.0,139.12659902955448,East Cherokee
13057090101,2023,8,2023-8,495000.0,2303.0,2020.0,214.93703864524537,East Cherokee
13057090101,2021,5,2021-5,280000.0,2010.0,2003.0,139.30348258706468,East Cherokee
13057090101,2021,11,2021-11,240000.0,1412.0,1998.0,210.3399433427762,East Cherokee
13057090101,2020,5,2020-5,120000.0,1248.0,1985.0,96.15384615384616,East Cherokee
13057090101,2022,6,2022-6,40000.0,528.0,1968.0,165.71969696969697,East Cherokee
13057090101,2023,7,2023-7,404500.0,2320.0,1993.0,174.35344827586206,East Cherokee
13057090101,2022,11,2022-11,390000.0,2476.0,1992.0,157.51211631663975,East Cherokee
13057090101,2021,7,2021-7,12500.0,1246.0,1980.0,10.032102728731942,East Cherokee
13057090101,2021,3,2021-3,630000.0,2324.0,1987.0,271.0843373493976,East Cherokee
13057090101,2020,7,2020-7,118000.0,1214.0,1950.0,97.1993410214168,East Cherokee
13057090101,2021,4,2021-4,279900.0,1116.0,1984.0,309.13978494623655,East Cherokee
13057090101,2020,10,2020-10,375000.0,4395.0,2006.0,85.32423208191126,East Cherokee
13057090101,2021,9,2021-9,426000.0,2014.0,2007.0,211.519364448858,East Cherokee
13057090101,2021,12,2021-12,399000.0,2366.0,2006.0,168.63905325443787,East Cherokee
13057090101,2022,10,2022-10,300000.0,1556.0,1997.0,269.92287917737787,East Cherokee
13057090101,2022,8,2022-8,233000.0,1614.0,1943.0,144.361833952912,East Cherokee
13057090101,2021,2,2021-2,360000.0,2354.0,2015.0,152.93118096856415,East Cherokee
13057090101,2021,12,2021-12,460000.0,2341.0,2015.0,196.49722340879967,East Cherokee
13057090101,2020,5,2020-5,345000.0,2009.0,2014.0,171.7272274763564,East Cherokee
13057090101,2020,5,2020-5,318500.0,2361.0,2014.0,134.90046590427784,East Cherokee
13057090101,2022,4,2022-4,385000.0,1484.0,2021.0,259.4339622641509,East Cherokee
13057090101,2021,8,2021-8,465000.0,3645.0,2002.0,127.57201646090536,East Cherokee
13057090101,2021,10,2021-10,250000.0,1642.0,2021.0,152.25334957369063,East Cherokee
13057090101,2021,3,2021-3,365000.0,3020.0,2004.0,175.49668874172184,East Cherokee
13057090101,2021,2,2021-2,202900.0,2368.0,1956.0,85.68412162162163,East Cherokee
13057090101,2020,8,2020-8,1100000.0,4869.0,1992.0,225.91907989320188,East Cherokee
13057090101,2021,3,2021-3,570000.0,2489.0,1999.0,229.00763358778627,East Cherokee
13057090101,2020,6,2020-6,250000.0,1960.0,2001.0,127.55102040816328,East Cherokee
13057090101,2021,7,2021-7,425000.0,2988.0,2000.0,142.235609103079,East Cherokee
13057090101,2022,5,2022-5,535500.0,2276.0,2001.0,235.2811950790861,East Cherokee
13057090101,2021,4,2021-4,425000.0,2669.0,2002.0,159.23566878980893,East Cherokee
13057090101,2020,5,2020-5,315000.0,2279.0,2019.0,138.2185168933743,East Cherokee
13057090101,2023,7,2023-7,459900.0,2292.0,2019.0,200.6544502617801,East Cherokee
13057090101,2020,3,2020-3,287100.0,2535.0,2019.0,113.25443786982248,East Cherokee
13057090101,2020,9,2020-9,315000.0,3109.0,2020.0,101.3187520102927,East Cherokee
13057090101,2022,12,2022-12,675840.0,3600.0,2000.0,187.73333333333332,East Cherokee
13057090101,2021,7,2021-7,195000.0,1268.0,2000.0,153.78548895899053,East Cherokee
13057090101,2021,10,2021-10,425000.0,2544.0,2018.0,167.05974842767296,East Cherokee
13057090101,2021,9,2021-9,690000.0,4854.0,2006.0,142.15080346106305,East Cherokee
13057090101,2021,7,2021-7,369500.0,2454.0,1999.0,150.57049714751426,East Cherokee
13057090101,2023,6,2023-6,505000.0,2640.0,2002.0,191.2878787878788,East Cherokee
13057090101,2020,10,2020-10,691739.0,3870.0,2020.0,178.74392764857882,East Cherokee
13057090101,2021,8,2021-8,280000.0,912.0,2019.0,307.0175438596491,East Cherokee
